Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;02/02/2026;5,69;;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;02/02/2026;4,14;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO M M GARROTE LTDA; 08.738.994/0001-50;RODOVIA AL-220;5848;KM    96;BOM SUCESSO;57309-035;GASOLINA;02/02/2026;5,89;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA;02/02/2026;5,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA ADITIVADA;02/02/2026;5,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;ETANOL;02/02/2026;4,99;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;GASOLINA;02/02/2026;6,39;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;GASOLINA ADITIVADA;02/02/2026;6,49;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;ETANOL;02/02/2026;4,99;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;POSTO E HOTEL DI'VAN LTDA; 24.313.645/0001-42;AVENIDA ANTONIO SERMEAO L FILHO;406;;JARDIM TROPICAL;57304-820;GASOLINA;02/02/2026;6,29;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;POSTO E HOTEL DI'VAN LTDA; 24.313.645/0001-42;AVENIDA ANTONIO SERMEAO L FILHO;406;;JARDIM TROPICAL;57304-820;GASOLINA ADITIVADA;02/02/2026;6,49;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;POSTO E HOTEL DI'VAN LTDA; 24.313.645/0001-42;AVENIDA ANTONIO SERMEAO L FILHO;406;;JARDIM TROPICAL;57304-820;ETANOL;02/02/2026;5,49;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;RODO CENTER AUTO POSTO LTDA; 40.921.967/0001-20;RODOVIA AL 220;SN;KM 06;JARDIM ESPERANCA;57304-820;GASOLINA;02/02/2026;6,39;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;RODO CENTER AUTO POSTO LTDA; 40.921.967/0001-20;RODOVIA AL 220;SN;KM 06;JARDIM ESPERANCA;57304-820;ETANOL;02/02/2026;4,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA;02/02/2026;6,39;;R$ / litro;RAIZEN
