Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;DIESEL S10;01/07/2026;6,79;;R$ / litro;VIBRA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;DIESEL S10;01/07/2026;7,49;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;DIESEL;01/07/2026;7,22;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;DIESEL S10;01/07/2026;7,28;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO ESTRELA DA 101 LTDA; 74.008.566/0001-04;RODOVIA MARGEM BR 101;SN;KM 108;POSTO;48010-970;DIESEL;01/07/2026;7,09;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO ESTRELA DA 101 LTDA; 74.008.566/0001-04;RODOVIA MARGEM BR 101;SN;KM 108;POSTO;48010-970;DIESEL S10;01/07/2026;7,23;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;DIESEL;01/07/2026;7,24;;R$ / litro;PETROBAHIA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;DIESEL S10;01/07/2026;7,34;;R$ / litro;PETROBAHIA
NE;BA;BARREIRAS;SABBA COMBUSTIVEIS LTDA; 01.664.891/0001-43;RUA SAO BERNARDO;35;;VILA DOS SAS;47810-760;DIESEL;01/07/2026;7,45;;R$ / litro;RAIZEN
NE;BA;BARREIRAS;SABBA COMBUSTIVEIS LTDA; 01.664.891/0001-43;RUA SAO BERNARDO;35;;VILA DOS SAS;47810-760;DIESEL S10;01/07/2026;7,57;;R$ / litro;RAIZEN
NE;BA;POCOES;EZENILDA CÉLIA NOVAIS LABANCA; 14.987.317/0001-78;PRACA CORONEL RAIMUNDO PEREIRA DE MAGALHÃES;211;;CENTRO;45260-000;DIESEL;01/07/2026;6,80;;R$ / litro;VIBRA
