Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;GASOLINA;02/10/2023;6,08;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;GASOLINA ADITIVADA;02/10/2023;6,08;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;ETANOL;02/10/2023;4,78;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;GASOLINA;02/10/2023;5,79;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;ETANOL;02/10/2023;4,29;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA;02/10/2023;5,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA ADITIVADA;02/10/2023;6,09;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;ETANOL;02/10/2023;4,49;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57304-820;GASOLINA;02/10/2023;5,89;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57304-820;GASOLINA ADITIVADA;02/10/2023;6,09;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57304-820;ETANOL;02/10/2023;4,99;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;GASOLINA;02/10/2023;5,79;;R$ / litro;VIBRA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;GASOLINA ADITIVADA;02/10/2023;5,89;;R$ / litro;VIBRA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;ETANOL;02/10/2023;4,59;;R$ / litro;VIBRA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;GASOLINA;02/10/2023;6,19;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;ETANOL;02/10/2023;4,69;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;GASOLINA;02/10/2023;5,79;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;GASOLINA ADITIVADA;02/10/2023;5,89;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;ETANOL;02/10/2023;4,19;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;GASOLINA;02/10/2023;5,79;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;GASOLINA ADITIVADA;02/10/2023;5,94;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;ETANOL;02/10/2023;4,45;;R$ / litro;VIBRA
NE;BA;ITAMARAJU;CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMETRAL;348;;CENTRO;45836-000;GASOLINA;02/10/2023;6,49;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMETRAL;348;;CENTRO;45836-000;ETANOL;02/10/2023;4,59;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;GASOLINA;02/10/2023;6,29;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;GASOLINA ADITIVADA;02/10/2023;6,29;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;ETANOL;02/10/2023;4,39;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GASOLINA;02/10/2023;6,29;;R$ / litro;RAIZEN
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GASOLINA ADITIVADA;02/10/2023;6,79;;R$ / litro;RAIZEN
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;ETANOL;02/10/2023;4,39;;R$ / litro;RAIZEN
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;GASOLINA;02/10/2023;6,29;;R$ / litro;BRANCA
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;ETANOL;02/10/2023;4,39;;R$ / litro;BRANCA
NE;BA;JEQUIE;COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;0;CENTRO;45200-130;GASOLINA;02/10/2023;6,29;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;0;CENTRO;45200-130;GASOLINA ADITIVADA;02/10/2023;6,39;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;0;CENTRO;45200-130;ETANOL;02/10/2023;4,44;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GASOLINA;02/10/2023;6,29;;R$ / litro;VIBRA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GASOLINA ADITIVADA;02/10/2023;6,49;;R$ / litro;VIBRA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;ETANOL;02/10/2023;4,39;;R$ / litro;VIBRA
