Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;GASOLINA;03/11/2025;6,19;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;POSTO E HOTEL DI'VAN LTDA; 24.313.645/0001-42;AVENIDA ANTONIO SERMEAO L FILHO;406;;JARDIM TROPICAL;57304-820;GASOLINA;03/11/2025;6,19;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA;03/11/2025;6,19;;R$ / litro;RAIZEN
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA;03/11/2025;6,29;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA ADITIVADA;03/11/2025;6,49;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;ETANOL;03/11/2025;4,99;;R$ / litro;BRANCA
N;AP;MACAPA;MACHADO & ANDRADE LTDA; 08.945.482/0001-64;RODOVIA JUSCELINO KUBITSCHEK;841;;JARDIM MARCO ZERO;68903-014;GASOLINA;03/11/2025;6,04;;R$ / litro;IPIRANGA
N;AP;MACAPA;MACHADO & ANDRADE LTDA; 08.945.482/0001-64;RODOVIA JUSCELINO KUBITSCHEK;841;;JARDIM MARCO ZERO;68903-014;GASOLINA ADITIVADA;03/11/2025;6,29;;R$ / litro;IPIRANGA
N;AP;MACAPA;MACHADO & ANDRADE LTDA; 08.945.482/0001-64;RODOVIA JUSCELINO KUBITSCHEK;841;;JARDIM MARCO ZERO;68903-014;ETANOL;03/11/2025;5,54;;R$ / litro;IPIRANGA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0002-59;RUA HILDEMAR MAIA;900;A;SANTA RITA;68901-310;GASOLINA;03/11/2025;5,94;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;GASOLINA;03/11/2025;6,49;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;GASOLINA ADITIVADA;03/11/2025;6,49;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;ETANOL;03/11/2025;4,79;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GASOLINA;03/11/2025;6,49;;R$ / litro;RAIZEN
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;ETANOL;03/11/2025;4,99;;R$ / litro;RAIZEN
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;GASOLINA;03/11/2025;6,47;;R$ / litro;BRANCA
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;ETANOL;03/11/2025;4,79;;R$ / litro;BRANCA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GASOLINA;03/11/2025;6,49;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GASOLINA ADITIVADA;03/11/2025;6,56;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;ETANOL;03/11/2025;4,89;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GASOLINA;03/11/2025;6,49;;R$ / litro;VIBRA
