Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;DIESEL;02/06/2025;6,42;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;DIESEL S10;02/06/2025;6,48;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL;02/06/2025;5,99;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL S10;02/06/2025;6,09;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;DIESEL S10;02/06/2025;6,39;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;DIESEL;02/06/2025;6,50;;R$ / litro;RAIZEN
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;DIESEL S10;02/06/2025;6,60;;R$ / litro;RAIZEN
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;DIESEL;02/06/2025;5,90;;R$ / litro;BRANCA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;DIESEL;02/06/2025;5,89;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;DIESEL S10;02/06/2025;5,99;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;PITU COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.891.624/0001-71;AVENIDA GOVERNADOR LOMANTO JUNIOR;220;;CENTRO;45202-130;DIESEL S10;02/06/2025;5,97;;R$ / litro;BRANCA
NE;BA;JEQUIE;M W COMERCIO DE COMBUSTIVEIS SERVICOS E ALIMENTOS LTDA; 00.697.413/0001-77;PRACA GOVERNADOR JURACY MAGALHAES;437A;;JEQUIEZINHO;45208-109;DIESEL;02/06/2025;6,29;;R$ / litro;BRANCA
NE;BA;JEQUIE;M W COMERCIO DE COMBUSTIVEIS SERVICOS E ALIMENTOS LTDA; 00.697.413/0001-77;PRACA GOVERNADOR JURACY MAGALHAES;437A;;JEQUIEZINHO;45208-109;DIESEL S10;02/06/2025;6,39;;R$ / litro;BRANCA
NE;BA;JEQUIE;SUDOESTE COMÉRCIO DE COMBUSTÍVEIS & SERVIÇOS LTDA.; 00.296.696/0001-45;AVENIDA OTAVIO MANGABEIRA;S/N;;MANDACARU;45200-000;DIESEL;02/06/2025;6,29;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;SUDOESTE COMÉRCIO DE COMBUSTÍVEIS & SERVIÇOS LTDA.; 00.296.696/0001-45;AVENIDA OTAVIO MANGABEIRA;S/N;;MANDACARU;45200-000;DIESEL S10;02/06/2025;6,39;;R$ / litro;IPIRANGA
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0017-46;RUA CARLOS GOMES;1064;;DOIS DE JULHO;40060-325;DIESEL S10;02/06/2025;6,39;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0009-36;RUA OSWALDO CRUZ;819;;RIO VERMELHO;41940-000;DIESEL S10;02/06/2025;5,99;;R$ / litro;VIBRA
NE;BA;SALVADOR;GAS ON LINE COMERCIO E SERVICOS LTDA; 05.033.611/0001-50;AVENIDA HEITOR DIAS;735;;PAU MIUDO;40315-518;DIESEL S10;02/06/2025;6,47;;R$ / litro;LARCO
NE;BA;SALVADOR;J A SOBRAL & CIA LTDA; 13.799.101/0001-16;AVENIDA MARIO LEAL FERREIRA (S AC NORTE);509;TERREO;BROTAS;40285-600;DIESEL S10;02/06/2025;6,24;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO DE LUBRIFICACAO BARBALHO LTDA; 15.135.429/0001-63;LADEIRA DO ARCO;88;;BARBALHO;40301-146;DIESEL S10;02/06/2025;6,39;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO INDEPENDENCIA DE LUBRIFICACAO LTDA; 15.127.988/0001-21;LADEIRA DA INDEPENDENCIA;173;;NAZARE;40040-340;DIESEL S10;02/06/2025;6,37;;R$ / litro;IPIRANGA
NE;BA;SALVADOR;POSTO DE GASOLINA FELICI LTDA; 00.138.957/0001-07;AVENIDA PRESIDENTE CASTELO BRANCO;SN;;SAUDE;40045-050;DIESEL S10;02/06/2025;5,89;;R$ / litro;VIBRA
NE;CE;JUAZEIRO DO NORTE;ARAUJO PETROLEO LTDA; 00.089.746/0002-02;AVENIDA CASTELO BRANCO;253;;SANTA TERESA;63050-480;DIESEL;02/06/2025;5,79;;R$ / litro;VIBRA
NE;CE;JUAZEIRO DO NORTE;MARCIANO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 07.053.903/0004-22;AVENIDA PADRE CICERO;2506;;TRIANGULO;63041-140;DIESEL S10;02/06/2025;6,59;;R$ / litro;BRANCA
NE;CE;JUAZEIRO DO NORTE;M. T. D. F. PETROLEO LTDA; 03.312.532/0001-52;AVENIDA PADRE CICERO;2200;;SALESIANOS;63050-292;DIESEL S10;02/06/2025;6,59;;R$ / litro;BRANCA
NE;CE;JUAZEIRO DO NORTE;M T D PETROLEO LTDA; 00.719.023/0001-50;RUA SAO PAULO;2005;;SANTA TEREZA;63050-316;DIESEL S10;02/06/2025;6,55;;R$ / litro;ALE
NE;CE;JUAZEIRO DO NORTE;M T PETROLEO LTDA; 00.236.128/0001-59;AVENIDA GOVERNADOR VIRGILIO TAVORA;S/N;;TIMBAUBA;63028-352;DIESEL S10;02/06/2025;6,39;;R$ / litro;BRANCA
NE;CE;FORTALEZA;DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 08.509.458/0001-82;RODOVIA DOUTOR MENDEL STEINBRUCH;6750;;ARACAPE;60765-005;DIESEL S10;02/06/2025;5,45;;R$ / litro;RAIZEN
NE;CE;QUIXADA;CIRO GOMES MAGALHAES; 41.424.276/0003-46;RODOVIA CE   456  KM  01;S/N;SITIO  ITAJUBA;ZONA  URBANA;63900-002;DIESEL S10;02/06/2025;6,45;;R$ / litro;RAIZEN
