Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;DIESEL;01/11/2024;6,18;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;DIESEL S10;01/11/2024;6,30;;R$ / litro;IPIRANGA
NE;BA;POCOES;QUEIROZ SANTOS COMÉRCIO DE COMBUSTIVEL LTDA; 07.183.283/0001-01;RUA GERMANO BATISTA DE SOUZA;320;;PITUBA;45260-000;DIESEL;01/11/2024;5,74;;R$ / litro;BRANCA
NE;BA;POCOES;POCOES DERIVADOS DE PETROLEO LTDA; 05.799.060/0001-30;RUA VIRGILIO DAMASIO;1;;LAGOA GRANDE;45260-000;DIESEL;01/11/2024;5,74;;R$ / litro;BRANCA
NE;BA;POCOES;POCOES DERIVADOS DE PETROLEO LTDA; 05.799.060/0001-30;RUA VIRGILIO DAMASIO;1;;LAGOA GRANDE;45260-000;DIESEL S10;01/11/2024;5,84;;R$ / litro;BRANCA
CO;GO;MORRINHOS;AUTO POSTO MAURO M.JUNIOR LTDA; 03.673.688/0001-69;PRACA NOSSA SENHORA DO CARMO;295;;CENTRO;75650-000;DIESEL;01/11/2024;5,89;;R$ / litro;BRANCA
CO;GO;MORRINHOS;AUTO POSTO LAMBARI LTDA; 33.318.692/0001-70;AVENIDA COUTO DE MAGALHAES;528;;CENTRO;75650-000;DIESEL;01/11/2024;5,89;;R$ / litro;BRANCA
CO;GO;MORRINHOS;AUTO POSTO LAMBARI LTDA; 33.318.692/0001-70;AVENIDA COUTO DE MAGALHAES;528;;CENTRO;75650-000;DIESEL S10;01/11/2024;5,99;;R$ / litro;BRANCA
S;PR;CASCAVEL;EUCLIDES PEGORARO E CIA LTDA; 05.093.694/0001-72;RUA CARLOS GOMES;3501;ESQ R. RIO DE JANEIRO;CENTRO;85801-090;DIESEL;01/11/2024;6,19;;R$ / litro;IPIRANGA
S;PR;CASCAVEL;ANTOSZ & LEME LTDA; 08.270.350/0001-80;AVENIDA BRASIL;9107;;COQUEIRAL;85807-030;DIESEL S10;01/11/2024;6,19;;R$ / litro;VIBRA
S;PR;CASCAVEL;AGROROTA COMERCIO DE COMBUSTIVEIS LTDA; 07.876.389/0001-82;RUA TRES PODERES;5393;;CASCAVEL VELHO;85818-070;DIESEL;01/11/2024;5,74;;R$ / litro;BRANCA
S;PR;CASCAVEL;AGROROTA COMERCIO DE COMBUSTIVEIS LTDA; 07.876.389/0001-82;RUA TRES PODERES;5393;;CASCAVEL VELHO;85818-070;DIESEL S10;01/11/2024;5,88;;R$ / litro;BRANCA
S;PR;CASCAVEL;DA COSTA & TORRES COMERCIO DE COMBUSTIVEIS LTDA; 76.065.895/0001-04;AVENIDA BRASIL;7114;;CENTRO;85810-000;DIESEL;01/11/2024;5,89;;R$ / litro;RAIZEN
S;PR;CASCAVEL;POSTO NOVA CIDADE LTDA; 79.438.834/0001-33;AVENIDA ASSUNCAO;1172;;CENTRO;85805-030;DIESEL;01/11/2024;6,09;;R$ / litro;BRANCA
S;PR;CASCAVEL;POSTO NOVA CIDADE LTDA; 79.438.834/0001-33;AVENIDA ASSUNCAO;1172;;CENTRO;85805-030;DIESEL S10;01/11/2024;6,19;;R$ / litro;BRANCA
S;PR;CASCAVEL;N A ZEN & CIA LTDA; 76.766.260/0001-34;AVENIDA BRASIL;1971;;SAO CRISTOVAO;85816-290;DIESEL;01/11/2024;6,35;;R$ / litro;IPIRANGA
S;PR;CASCAVEL;AUTO POSTO GRALHA AZUL LTDA; 75.917.096/0001-56;RUA CARLOS GOMES;3841;;CENTRO;85819-350;DIESEL S10;01/11/2024;6,47;;R$ / litro;IPIRANGA
S;PR;CASCAVEL;POSTO PARAVIS LTDA; 03.358.802/0001-66;RUA PARANA;2;ESQ R. VIC MACHADO;CENTRO;85812-010;DIESEL S10;01/11/2024;6,18;;R$ / litro;VIBRA
S;PR;CASCAVEL;AUTO POSTO SAO CRISTOVAO LTDA; 03.012.016/0001-02;RUA DOMICILIANO TEOBALDO BRESOLIN;655;ESQ. C/ ESTILAC LEAL;SAO CRISTOVAO;85815-073;DIESEL;01/11/2024;5,85;;R$ / litro;RAIZEN
S;PR;CASCAVEL;AUTO POSTO SAO CRISTOVAO LTDA; 03.012.016/0001-02;RUA DOMICILIANO TEOBALDO BRESOLIN;655;ESQ. C/ ESTILAC LEAL;SAO CRISTOVAO;85815-073;DIESEL S10;01/11/2024;5,95;;R$ / litro;RAIZEN
NE;RN;PARNAMIRIM;PARELHAS GAS LTDA; 24.206.617/0033-03;AVENIDA DOUTOR ATILA PAIVA;100;;VALE DO SOL;59143-275;DIESEL S10;01/11/2024;5,94;;R$ / litro;IPIRANGA
SE;ES;CACHOEIRO DE ITAPEMIRIM;UNIPOSTO DERIVADOS DE PETROLEO LTDA; 39.281.274/0001-31;RODOVIA ENGENHEIRO FABIANO VIVACQUA;2114;ANEXO 2162 - BR 482;ALVARO TAVARES;29316-258;DIESEL;01/11/2024;5,79;;R$ / litro;VIBRA
SE;ES;CACHOEIRO DE ITAPEMIRIM;UNIPOSTO DERIVADOS DE PETROLEO LTDA; 39.281.274/0001-31;RODOVIA ENGENHEIRO FABIANO VIVACQUA;2114;ANEXO 2162 - BR 482;ALVARO TAVARES;29316-258;DIESEL S10;01/11/2024;5,89;;R$ / litro;VIBRA
CO;GO;LUZIANIA;AUTO POSTO G - 3 LTDA; 07.174.179/0001-42;AVENIDA ALFREDO NASSER;SN;QUADRA176                 LOTE  01;PARQUE ESTRELA DALVA II;72820-020;DIESEL;01/11/2024;5,89;;R$ / litro;BRANCA
CO;GO;LUZIANIA;AUTO POSTO G - 3 LTDA; 07.174.179/0001-42;AVENIDA ALFREDO NASSER;SN;QUADRA176                 LOTE  01;PARQUE ESTRELA DALVA II;72820-020;DIESEL S10;01/11/2024;5,99;;R$ / litro;BRANCA
